8.84,0.718,0.038,7.829,0
9.5,0.62,0.113,7.932,0
10.025,0.601,0.067,7.896,0
10.553,0.661,0.0,7.882,0
11.08,0.666,0.007,7.887,0
11.609,0.713,0.079,7.843,0
12.139,0.651,0.036,7.86,0
12.666,0.685,0.084,7.934,0
13.195,0.613,0.019,7.901,0
13.724,0.728,-0.017,7.8,0
14.254,0.661,0.081,7.87,0
14.786,0.642,-0.019,7.906,0
15.318,0.682,0.038,7.925,0
15.85,0.644,0.098,7.858,0
16.379,0.687,0.077,7.841,0
16.908,0.697,0.062,7.855,0
17.441,0.68,0.053,7.922,0
17.969,0.721,0.151,7.796,0
18.5,0.639,0.108,7.963,0
19.032,0.733,0.01,7.997,0
19.668,0.704,0.029,7.927,0
20.198,0.687,0.079,7.863,0
20.728,0.589,-0.01,7.875,0
21.258,0.713,0.048,7.807,0
21.79,0.678,0.002,7.884,0
22.322,0.723,0.024,7.863,0
22.853,0.697,0.045,7.834,0
23.382,0.685,0.093,7.855,0
23.916,0.673,0.0,7.829,0
24.447,0.709,0.038,7.822,0
24.978,0.656,0.057,7.815,0
25.507,0.68,0.093,7.946,0
26.038,0.611,0.045,7.896,0
26.567,0.709,0.012,7.898,0
27.096,0.694,0.043,7.827,0
27.627,0.728,0.062,7.887,0
28.164,0.658,0.019,7.819,0
28.695,0.697,0.055,7.93,0
29.227,0.658,0.077,7.884,0
29.887,0.654,0.024,7.877,0
30.431,0.697,0.05,7.839,0
30.975,0.637,0.055,7.956,0
31.52,0.654,0.074,7.853,0
32.068,0.678,-0.01,7.829,0
32.615,0.692,0.002,7.872,0
33.157,0.73,0.057,7.822,0
33.701,0.675,0.031,7.882,0
34.249,0.752,0.062,7.875,0
34.794,0.706,0.017,7.879,0
35.339,0.742,0.05,7.949,0
35.889,0.699,0.081,7.767,0
36.435,0.704,0.05,7.879,0
36.98,0.62,0.057,7.894,0
37.52,0.682,0.096,7.812,0
38.066,0.618,0.072,7.851,0
38.609,0.725,0.05,7.934,0
39.154,0.687,0.057,7.877,0
39.698,0.668,0.002,7.841,0
40.244,0.728,-0.005,7.8,0
40.853,0.754,-0.014,7.793,0
41.394,0.632,0.017,7.879,0
41.936,0.692,0.053,7.851,0
42.48,0.651,0.057,8.006,0
43.027,0.678,0.019,7.819,0
43.569,0.735,0.048,7.855,0
44.114,0.632,0.002,7.858,0
44.657,0.622,0.045,7.968,0
45.204,0.565,0.048,7.882,0
45.746,0.68,0.077,7.769,0
46.29,0.649,0.105,7.86,0
46.837,0.68,0.05,7.903,0
47.382,0.685,0.031,7.793,0
47.926,0.735,0.05,7.879,0
48.474,0.869,0.041,7.877,0
7.522,0.723,0.017,7.839,0
8.066,0.723,0.062,7.875,0
8.617,0.745,0.01,7.848,0
9.157,0.692,0.034,7.867,0
9.824,0.627,0.091,7.942,0
10.366,0.699,0.096,7.889,0
10.911,0.711,0.06,7.937,0
11.457,0.682,0.029,7.851,0
12.004,0.716,0.048,7.8,0
12.55,0.702,0.06,7.946,0
13.092,0.713,-0.055,7.989,0
13.639,-0.634,0.723,8.99,0
14.185,-7.053,0.129,4.626,0
14.728,-8.99,0.618,-1.14,0
15.174,-9.249,0.23,-1.156,1
15.715,-9.234,0.244,-1.31,1
16.259,-9.222,-0.139,-1.791,1
16.807,-9.026,-0.113,0.709,1
17.349,-8.191,-0.084,2.598,0
17.89,-8.835,-0.129,0.869,0
18.334,-7.922,-0.153,2.811,0
18.877,-7.494,-0.081,2.65,0
19.423,-8.976,0.426,-2.054,0
19.991,-9.306,-0.108,-2.571,1
20.534,-9.323,-0.136,-2.021,1
21.079,-9.251,-0.172,0.084,1
21.623,-6.364,-0.079,5.425,0
22.166,-6.275,-0.12,5.011,0
22.708,-8.698,-0.115,1.226,0
23.151,-9.024,-0.175,0.309,1
23.695,-8.432,-0.067,1.776,0
24.241,-7.855,0.136,2.725,0
24.786,-9.237,-0.139,-0.778,1
